trpt1,trpt2,trpt3,trpt4,trpt5,trpt6,trpt7,trpt8,trpt9,trpt10,trpt11,pop1,pop2,pop3,pop4,pop5,pop6,pop7,pop8,pop9,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,trv1,trv2,trv3,trv4,trv5,trv6,trv7,trv8,trv9,trv10,trv11,esp1,esp2,esp3,esp4,esp5,esp6,esp7,esp8,log1,log2,log3,log4,log5,log6,log7,log8,log9,log10,log11,log12,log13,log14,log15,log16,log17,log18,fin1,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,egmt1,egmt2,egmt3,egmt4,BFS
8946,7322,681,77,27,54,715,758.2065,4543.641533,1750.412888,2258.008423,9657,12.74010554,4911,4746,4041,4360,1983,2540,3250,1336,548,34.2487,32.53886,66.78756,41.01796,2249,6.834421,4.349177,75.17863,83.25567,-8.07704,2.17,23.28881,1554,462,95,61,71,2.332783,190.8333,78.91667,642,493,124,25,0,23,1533,4763,3.531411,758,141,16,44,61,245,243,2,27,1.458601,42.86,2.2,0.63,0.1,1256,569,553,81,53,4662,65,471,454,178,45,43,90644.53678,41015.47278,20875.20084,7276.22447,52626.8361,1844.71936,3390.58959,59170.0172,40232.68263,1751,1397,212,583,250
20074,16088,972,83,275,244,2182,468.7782,16185.38174,7252.776288,6816.617189,34319,12.04598105,17368,16951,15317,14561,7019,9410,12024,4458,1408,32.74704,27.36773,60.11477,31.58367,7879,7.022349,4.633002,73.39957,65.12428,8.275299,2.23,22.95813,5258,1533,617,182,272,1.567019,771,332,2434,2123,269,37,5,181,3218,12931,3.945363,2849,419,59,107,236,759,1164,15,208,1.95104,44.99,2.2,0.61,0.2,5082,2852,1520,499,211,16299,423,1540,1964,800,242,113,286873.5455,165422.6309,22528.47662,24932.72589,224536.3842,35376.91809,22027.14438,206078.8854,110694.7687,5746,3835,756,1863,198
8726,6897,365,42,154,64,1114,538.1554,6040.869009,1075.810532,3790.561507,12816,8.844720497,6351,6465,5211,6120,2816,3450,4384,1597,569,35.94588,27.64871,63.59459,35.6293,3639,7.178527,2.574906,60.7834,60.08115,0.702247,2.43,28.39419,1400,1883,182,119,44,1.916908,215.9167,97.41667,647,563,70,13,1,97,3684,3148,2.889437,1449,209,24,69,117,254,744,28,20,1.152838,45.84,2.4,0.58,0.3,2615,1805,542,180,88,5725,117,1350,788,246,82,32,77572.07582,37265.41063,19428.85555,7028.10073,62510.36072,8524.30322,4762.2836,61234.16006,34875.61471,3413,1380,267,766,3408
21952,15544,1886,299,20,161,3787,444.3301,11360.85116,5324.245522,4993.504152,34983,45.49154746,17661,17322,15835,14480,7966,10044,11809,3770,1394,36.45266,23.63062,60.08328,36.97613,15569,5.516965,6.460281,101.8495,105.6799,-3.83043,2.57,44.50447,9504,1819,1214,1973,1030,8.001731,1017,447,1827,1500,267,52,8,6,5153,14101,6.143933,769,252,48,135,124,74,101,33,22,0.415829,31.49,2.6,0.82,2.2,2416,1504,645,169,98,14429,327,996,479,140,117,357,213848.1164,99412.50809,19430.94926,34940.63556,116303.7141,21366.71837,27578.1425,127836.8469,90244.30129,3928,3757,746,2263,6643
8099,6441,315,37,44,33,1143,486.2233,4069.782193,1467.332913,2191.084036,13247,12.61619048,6854,6393,6098,5474,3458,3305,4465,1457,562,44.5045,25.98456,70.48906,38.57241,5605,6.114592,3.472484,104.1745,115.2714,-11.0969,2.67,42.31147,3002,512,804,662,574,5.30046,301.5833,147.5833,669,598,58,11,2,29,475,3653,5.158093,1050,204,29,16,91,398,306,7,12,0.226159,36.66,2.7,0.74,3.2,1413,899,323,144,47,5306,141,553,461,94,50,114,139261.1756,75729.38349,10875.32211,22618.43723,42799.281,10578.97059,6380.1575,40661.70791,31536.94678,3461,2877,385,1373,6644
9329,7641,468,130,6,30,995,386.2993,7502.959264,2820.108792,2938.225271,19780,82.41666667,10223,9557,9622,7270,4044,6344,6486,1981,925,31.51988,22.65004,54.16991,46.69359,8597,7.836198,6.420627,117.998,108.4429,9.555106,2.09,43.46309,5703,1214,693,620,341,9.458695,602.75,263.5833,1849,1608,196,40,5,4,1103,13206,6.231815,240,122,16,11,64,11,7,6,135,0.360702,35.74,2.1,0.71,1.6,1238,278,514,323,123,10535,49,254,363,220,167,185,246455.597,151652.52,21363.18497,21802.474,131796.4457,7562.916,17019.3767,130861.3864,70918.51696,3288,2028,402,1110,5890
8018,5802,243,28,30,12,1849,502.9909,4035.316214,1156.006962,2434.989279,11535,17.74615385,5923,5612,5118,5045,2868,2510,4093,1323,741,43.4348,31.25852,74.69332,56.00907,3211,12.05028,-3.81448,103.5111,77.24317,26.26788,2.95,27.83702,2517,196,143,121,219,2.128981,199.75,97.41667,422,388,29,3,2,38,197,1870,4.010368,650,225,41,6,56,90,217,17,77,0.388633,41.34,3,0.68,1,2494,2133,285,45,31,4117,351,1200,819,101,17,6,105480.8885,35526.56168,3038.93612,20831.3871,26705.08788,5680.5963,5963.5046,27201.24508,23961.59798,1331,1331,353,962,6645
7427,6173,308,104,15,37,737,508.9875,5056.373843,1774.856044,2714.608631,12128,22.13138686,6172,5956,5607,5042,2827,3388,4070,1394,449,37.9056,24.71172,62.61732,32.20947,4096,6.266491,7.998021,90.36939,95.15172,-4.78232,2.41,33.77309,2470,686,282,538,115,4.579147,276.0833,120.0833,636,518,91,22,5,15,2287,6935,4.36826,548,150,13,42,77,95,160,8,19,0.46966,40.78,2.4,0.66,1.6,1390,734,493,101,62,5323,55,580,457,165,72,61,91471.64875,53315.31529,34320.04003,8758.97497,72208.14416,11380.3937,3243.84736,74668.39214,59939.67424,1055,1055,264,791,2228
6393,4511,587,183,78,273,642,583.8726,3070.500715,583.3827376,1346.479602,7726,5.853030303,3841,3885,3253,3485,1428,2230,2653,1040,375,29.24432,28.97809,58.2224,36.05769,1703,8.024851,2.459229,71.44706,66.14031,5.306756,2.25,22.04245,930,535,121,91,26,2.530985,81.58333,16.5,779,619,138,20,2,68,4172,5037,2.196513,1320,79,16,123,80,779,198,32,150,2.332778,47.5,2.2,0.61,0.6,928,342,385,126,75,4201,62,275,243,171,107,70,57858.20911,26234.19966,8496.16527,7753.63518,38732.43235,10475.16498,6469.45484,40696.58988,27454.21565,1967,952,141,424,6297
14481,10998,1008,109,117,587,1489,591.8631,8781.740899,2734.413099,5430.474332,18582,13.23504274,9227,9355,7809,8490,4094,4857,6747,2349,535,35.28094,24.8535,60.13444,22.77565,4580,5.489183,6.027338,76.6333,83.19879,-6.56549,2.42,24.64751,2634,1415,293,106,121,2.368364,405.9167,167.4167,1275,1038,195,38,4,74,3406,7644,3.847775,1404,213,34,136,135,336,526,3,43,0.557828,44.81,2.4,0.62,0.1,2465,1421,715,235,94,8067,180,769,928,409,119,60,129609.2914,76557.9404,26084.97593,8095.99436,108682.9072,21663.05271,4305.27452,94295.40528,57150.75885,2100,2100,460,1151,199
11734,9542,784,86,22,193,1024,598.8452,6759.030417,3059.783477,2938.274945,15934,24.81931464,7918,8016,7033,6901,3074,4983,5344,1774,759,29.76663,24.52794,54.29457,42.78467,4916,6.7152,5.836576,103.4266,92.63211,10.79453,2.18,30.85227,3234,902,418,158,195,2.834887,401.8333,178.0833,1375,1055,250,57,13,38,3608,16337,4.776453,642,169,20,44,133,136,136,3,97,0.954248,44.74,2.2,0.62,0.4,2060,946,795,224,95,7650,125,652,823,271,101,88,226091.8941,143041.6512,61166.24336,9749.37347,131772.0035,20176.19497,4949.72098,131910.9054,99529.46951,2160,1792,404,962,69
