BFS,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34
861,0.002593192868719611,51.694003241491146,0.3063209076175041,0.2320907617504052,1.708695652173913,0.26747008843419456,0.3500810372771475,6.012383900928793,35028.57142857143,66299.99999999996,2010.0,1998.0,1598.0,2967.0,2.0,6.850000000000023,1933.45,9839.409999999996,1150.75,2270.0299999999997,1.8525121555915722,4.0,4.0,5.5,587000.0,1013599.9999999999,1990.0,1905.4,4.941004862236629,1.0,1000.0,8208.534999999996,481.85,1304.129999999999
939,0.003522080736927662,51.48442156597139,0.3470604172311027,0.18829585478190192,1.6883289124668435,0.23385921561173414,0.36521267949065295,6.016974169741697,34441.43484626647,64750.0,2010.0,1999.0,1598.0,2521.0,2.0,6.0,1752.3,9545.719999999996,1039.7,1992.3999999999994,1.8127878623679219,4.0,4.0,6.0,564000.0,1001799.9999999998,1977.0,1903.0,4.941208344622054,1.0,1046.0,7600.275,459.65,1221.4899999999996
942,0.007028546712802768,51.46193771626304,0.2849264705882353,0.20144896193771628,1.6599874765184721,0.21226588321704004,0.37759515570934254,6.049626104690686,34570.94708459724,65000.0,2010.0,1998.5,1598.0,2967.0,2.0,6.0,2233.0,10748.109999999999,1065.5,2058.8500000000004,1.7972534602076125,3.0,3.5,5.5,576000.0,1127000.0,1970.0,1908.2,5.725237889273356,1.0,1045.0,6700.93,419.1,1127.4250000000002
1024,0.0033812341504649195,50.69258946182026,0.22428853198083967,0.18850380388841928,1.69625520110957,0.11740770146883683,0.4020850943927867,5.907571288102262,33904.06976744186,61000.0,2010.0,1999.55,1598.0,2498.8999999999996,2.0,6.0,1489.4250000000002,8334.5825,1057.1,1987.4749999999995,1.6460974922513385,3.0,3.5,5.5,510000.0,835199.9999999998,1985.0,1930.0,6.060862214708369,1.0,970.0,6767.94,389.1,1006.1974999999996
1054,0.0017064846416382253,50.52047781569968,0.22070534698521047,0.20477815699658702,1.6036745406824147,0.13205137835198677,0.3845278725824801,6.116760828625235,34625.69832402235,64000.0,2011.0,2000.0,1598.0,2970.0,2.0,6.0,2093.7250000000004,12837.754999999997,1098.4,2047.91,1.7531285551763367,3.0,4.0,6.0,524000.0,1004699.9999999984,1980.0,1948.7,5.60523321956769,1.0,1081.3,8226.454999999984,413.95,1119.9899999999998
1058,0.002653927813163482,51.91082802547771,0.164897381457891,0.16967445152158528,1.6143497757847534,0.4070872947277442,0.4051663128096249,5.988871224165342,35863.63636363636,67000.0,2010.0,1999.0,1598.0,2987.0,2.0,6.0,1450.0,10158.75,1054.0,2098.0099999999998,1.8007784854918614,3.0,3.5,5.5,605500.0,1465349.9999999993,1972.0,1900.0,6.6222576079263975,1.0,1048.3,8442.375,402.95000000000005,1125.4525
1059,0.006408544726301735,52.80053404539376,0.2170894526034713,0.15433911882510012,1.6567967698519515,0.1381409074142383,0.3919893190921228,6.16542750929368,34180.98720292505,61349.99999999991,2010.0,2000.0,1598.0,2504.8999999999987,2.0,6.0,1724.65,12003.775,1092.15,2003.925,1.67022696929239,3.0,3.5,5.5,520000.0,965000.0,1980.0,1905.25,5.914018691588785,1.0,1000.0,7183.269999999994,410.15,1109.6499999999999
1061,0.004023833475199257,49.82573705795858,0.13634604967886713,0.19260233691867212,1.595152140278494,0.1583856260417688,0.4296216048905053,5.856925418569254,35762.667660208645,69000.0,2010.0,1999.0,1598.0,2987.0,2.0,6.0,1553.0,10858.519999999993,1030.6,2040.36,1.7884392169001007,3.0,3.5,5.5,581500.0,1466000.0,1969.0,1900.0,7.110191132090072,1.0,1000.0,8019.734999999999,385.5,1023.9200000000001
1103,0.0007855459544383347,48.872741555381026,0.26747839748625296,0.2439120188531029,1.6321428571428571,0.2646294563974639,0.3448546739984289,5.952325581395349,33685.41905855339,58000.0,2011.0,1999.0,1596.0,2521.0,2.0,5.0,1615.875,8532.029999999995,1105.0,2050.594999999999,1.6802827965435978,3.0,4.0,6.0,584000.0,1163500.0,1983.0,1923.0,5.843283582089552,1.0,1098.075,9131.532500000001,446.1,1169.0900000000001
1201,0.0010190217391304348,53.97826086956525,0.3685461956521739,0.25509510869565216,1.7658045977011494,0.31961784822494843,0.33186141304347827,6.289676425269645,33979.48328267477,62000.0,2010.0,2000.0,1598.0,2934.0999999999985,2.0,6.0,1569.575,8585.155,1103.8,1988.575,1.2680027173913044,3.0,4.5,6.5,630000.0,1222199.999999999,1977.0,1900.0,5.147758152173913,1.0,1000.0,6439.812500000003,451.6,1815.4
1301,0.0018115942028985507,53.02657004830917,0.4042874396135266,0.19353864734299517,1.7084468664850136,0.2156109628279409,0.3641304347826087,6.083697234352257,38194.82386772106,73000.0,2010.0,1998.0,1799.0,2994.6,2.0,6.0,1966.95,12343.409999999976,1182.9,2258.2,1.5015096618357489,3.0,4.5,6.5,720000.0,1325150.0,1986.0,1923.0,4.54981884057971,1.0,1069.75,6880.0,508.2,2081.5
1322,0.001229256299938537,54.25845113706214,0.39551321450522436,0.19161032575291947,1.6416988416988416,0.40182761175598913,0.35187461585740626,5.908545727136432,46810.51846325998,102000.0,2011.0,1999.0,1968.0,3596.0,2.0,6.0,2171.625,14810.224999999999,1334.3000000000002,3255.2,1.6006453595574677,4.0,4.5,6.5,701000.0,2100000.0,1983.0,1920.0,4.704517516902274,1.0,1338.7,12002.05,545.95,2418.8
1362,0.003248375812093953,53.50424787606198,0.2581209395302349,0.187656171914043,1.8207792207792208,0.34103110353642946,0.35907046476761617,5.984335839598997,35190.03115264798,71000.0,2010.0,1999.0,1794.0,2987.0,2.0,6.0,1605.5500000000002,8866.9,1055.6,2071.7400000000002,1.6621689155422288,3.0,4.0,6.5,675000.0,1140000.0,1988.0,1900.0,5.180659670164918,1.0,960.15,9391.759999999997,486.35,2001.475
1372,0.0014814814814814814,51.594444444444434,0.3548148148148148,0.1451851851851852,1.852852852852853,0.18139066174000673,0.3748148148148148,6.05390625,34411.44624903326,64399.99999999986,2010.0,1999.0,1685.0,2957.8999999999987,2.0,5.0,1707.9,10593.744999999999,1133.1,1991.32,1.6385185185185185,4.0,4.5,6.5,723500.0,1382500.0,1981.0,1900.0,4.672592592592593,1.0,968.35,8830.999999999996,536.45,2349.7574999999997
1407,0.000598623166716552,53.743789284645345,0.4283148757856929,0.23735408560311283,1.6834451901565997,0.3264927196325613,0.3400179586950015,6.356925418569254,36660.67415730337,69000.0,2011.0,2000.0,1796.0,2967.0,2.0,5.0,1962.35,9777.499999999995,1194.7,2151.3849999999993,1.5019455252918288,3.0,4.5,6.5,727000.0,1500000.0,1982.0,1900.0,4.763244537563604,1.0,1165.85,8455.744999999955,512.75,2292.95
1509,0.0007892659826361484,50.561168113654276,0.3267561168113654,0.23914759273875297,1.7327823691460056,0.15204608184327373,0.32202052091554856,6.093555093555094,34471.311475409835,61649.99999999998,2011.0,2000.4,1598.0,2828.899999999994,2.0,5.0,1850.075,11443.775,1130.4,1931.9799999999998,1.7221783741120757,4.0,4.5,6.0,650000.0,1164500.0,1980.0,1897.0,5.184688239936858,1.0,848.9,5058.012499999994,411.2,1001.425
1630,0.0015748031496062992,50.88818897637793,0.34960629921259845,0.19160104986876642,1.6761229314420805,0.1054992523675029,0.38530183727034123,5.989528795811518,35492.207792207795,66000.0,2010.0,1999.0,1798.0,2967.0,2.0,6.0,1862.55,11837.275,1221.9499999999998,2474.269999999998,1.5931758530183726,3.0,4.5,6.5,586000.0,1013999.9999999998,1979.0,1900.0,4.020997375328084,1.0,990.075,6794.3625,462.6,1168.7475
1632,0.0008264462809917355,54.82438016528931,0.32892561983471075,0.20702479338842975,1.6695652173913043,0.19336795844986016,0.38264462809917354,5.8341384863123995,34681.08974358974,66000.0,2009.0,1997.0,1798.0,2799.0,2.0,5.0,1452.4,10595.910000000005,1105.9,2382.455,1.7921487603305786,3.0,4.5,6.5,572000.0,1079000.0,1970.0,1833.1000000000001,4.939256198347107,1.0,854.35,6285.0,433.975,1004.5199999999999
1701,0.0024161884627000906,52.16067653276946,0.2691029900332226,0.24645122319540924,1.6467486818980668,0.13722077168552366,0.3684687405617638,6.1278748850046,39868.0618744313,77000.0,2011.0,1999.0,1798.0,2993.0,2.0,5.149999999999977,1801.1,10899.575000000004,1208.6,2350.2099999999973,1.6744186046511629,4.0,4.0,6.0,749000.0,1892799.9999999946,1981.0,1903.0,5.222893385684084,1.0,1142.0,9932.605,439.25,1371.2149999999965
1702,0.0015157256536566881,51.4622963243653,0.27737779461917395,0.2682834406972338,1.6388888888888888,0.16274050320670944,0.33497536945812806,6.1172638436482085,39809.06148867314,76399.99999999987,2011.0,2001.0,1798.0,2994.6,2.0,6.0,1892.9499999999998,9987.005,1198.5,2708.8399999999992,1.5475558923834787,3.0,4.0,6.0,717500.0,1540050.0,1987.0,1903.0,5.090564607805987,1.0,1098.025,6500.0,440.20000000000005,1197.9774999999997
